county,estabs_20175221,emplvl_20175221,estabs_20175222,emplvl_20175222,estabs_20175223,emplvl_20175223
13053,3,0,,,,
13055,4,42,7,15,,
13057,59,537,40,179,18,73
13059,34,245,23,72,4,10
13061,1,0,,,,
13063,37,623,45,319,11,37
13065,1,0,1,0,,
13067,196,2317,165,2222,91,2643
13069,14,145,14,0,1,0
13071,11,221,15,0,1,0
13073,31,328,13,0,4,0
13075,5,57,3,10,,
13077,37,332,21,0,2,0
13079,1,0,1,0,,
13081,5,64,11,70,,
13083,2,0,3,0,,
13085,8,92,5,21,,
13087,8,111,12,131,,
13089,156,1764,98,650,64,502
13091,5,104,5,12,,
13093,3,0,1,0,,
13095,30,401,30,0,1,0
13097,32,293,22,583,5,31
13099,3,96,4,8,,
13103,8,55,7,24,3,7
13105,8,133,8,22,,
13107,5,119,8,24,,
13109,1,0,1,0,,
13111,11,89,7,0,2,0
13113,34,381,13,37,12,24
13115,29,375,18,0,1,0
13117,54,528,36,145,18,53
13119,9,60,6,22,,
13121,365,13643,305,5351,171,3990
13123,8,83,5,12,,
13127,39,314,17,58,9,19
13129,10,140,15,41,,
13131,6,78,7,18,,
13133,9,115,4,0,2,0
13135,203,2807,141,1318,99,637
13137,13,167,14,0,1,0
13139,53,666,45,869,15,21
13141,2,0,,,,
13143,8,106,6,19,,
13145,3,0,2,0,,
13147,5,51,5,12,,
13149,2,0,2,0,,
13151,48,403,30,98,5,12
13153,35,507,24,0,2,0
13155,2,0,2,0,,
13157,16,200,11,0,1,0
13159,2,0,2,0,,
13161,3,45,5,0,1,0
13163,5,63,5,16,,
13165,1,0,4,0,,
13167,2,0,1,0,,
13169,4,0,1,0,,
13171,3,0,2,0,,
13173,1,0,1,0,,
13175,10,286,15,63,,
13177,11,64,7,32,,
13179,9,194,16,0,1,0
13181,1,0,1,0,,
13183,1,0,,,,
13185,39,534,29,0,1,0
13187,5,48,4,0,2,0
13189,6,48,7,19,,
13191,2,0,2,0,,
13193,3,18,4,12,,
13195,7,0,2,0,,
13197,,,1,0,1,0
13199,5,49,5,17,,
13201,2,0,3,0,,
13205,5,0,1,0,,
13207,5,132,3,8,,
13209,3,0,2,0,,
13211,4,84,7,0,1,0
13213,6,123,8,25,,
13215,64,830,57,0,14,0
13217,14,196,20,0,2,0
13219,15,146,9,0,2,0
13221,2,0,1,0,,
13223,23,186,15,0,2,0
13225,5,37,8,19,,
13227,7,122,9,0,2,0
13229,4,49,1,0,1,0
13231,4,49,1,0,1,0
13233,7,57,10,21,,
13235,3,0,3,0,,
13237,3,92,6,0,2,0
13239,,,1,0,,
13241,5,0,3,0,,
13243,2,0,3,0,,
13245,56,660,38,0,4,0
13247,25,0,19,302,1,0
13251,4,71,4,14,,
13253,4,61,1,0,1,0
13255,11,190,22,85,4,11
13257,12,121,6,21,,
13259,,,1,0,,
13261,7,105,11,38,,
13263,3,0,,,,
13267,5,0,2,0,,
13269,3,0,2,0,,
13271,6,0,1,0,,
13273,2,0,5,0,,
13275,15,270,19,68,,
13277,15,168,21,0,3,0
13279,6,154,16,56,,
13281,5,36,2,0,1,0
13283,2,0,1,0,,
13285,18,198,19,61,,
13287,4,0,2,0,,
13289,0,0,,,,
13291,6,75,4,0,1,0
13293,6,103,11,33,,
13295,8,127,8,20,,
13297,15,169,19,99,3,8
13299,12,202,13,31,,
13301,1,0,1,0,,
13303,5,124,6,16,,
13305,7,121,11,44,,
13307,1,0,,,,
13309,1,0,,,,
13311,5,75,5,33,,
13313,20,290,26,83,,
13315,4,0,1,0,,
13317,3,0,4,0,,
13319,2,0,,,,
13321,4,28,4,41,,
13999,58,925,181,848,87,317
15000,430,5953,184,908,104,356
15001,67,690,20,60,16,53
15003,276,4481,124,731,71,260
15007,30,0,10,0,4,0
15009,54,506,30,0,14,0
15999,3,0,1,0,,
16000,711,9348,326,2030,182,681
16001,194,3310,104,906,56,248
16003,2,0,1,0,,
16005,43,447,17,134,7,25
16007,3,18,3,0,1,0
16009,5,0,,,1,0
16011,15,106,7,0,2,0
16013,15,106,3,0,5,0
16015,1,0,,,,
16017,14,121,7,0,1,0
16019,54,703,20,104,12,62
16021,3,0,,,,
16023,1,0,1,0,,
16025,1,0,,,1,0
16027,63,575,27,225,17,106
16029,3,0,1,0,1,0
16031,14,183,4,0,2,0
16035,4,0,1,0,,
16037,4,16,,,,
16039,9,114,2,0,2,0
16041,5,32,2,0,2,0
16043,6,29,,,,
16045,6,38,,,,
16047,7,0,,,1,0
16049,10,0,1,0,,
16051,9,84,,,,
16053,8,59,2,0,2,0
16055,61,1458,30,183,13,71
16057,16,0,2,0,,
16059,3,0,1,0,,
16061,3,0,,,,
16063,1,0,,,,
16065,13,169,5,0,1,0
16067,6,0,1,0,,
16069,15,385,6,50,5,18
16071,2,0,,,,
16073,2,0,2,0,,
16075,10,0,7,73,3,0
16077,5,20,3,12,,
16079,7,0,2,0,,
16081,5,0,1,0,,
16083,39,559,16,114,6,23
16085,5,0,2,0,,
16087,4,22,,,,
16999,16,64,45,81,42,50
17000,3763,84949,1347,24701,906,11308
17001,20,617,6,29,,
17003,1,0,,,,
17005,5,82,,,,
17007,12,0,1,0,,
17009,2,0,,,,
17011,13,175,4,12,,
17013,2,0,,,,
17015,12,151,,,,
17017,5,196,,,,
17019,64,1368,10,185,3,6
17021,13,0,1,0,,
17023,5,0,1,0,,
17025,6,112,,,,
17027,12,0,1,0,,
17029,24,339,3,0,1,0
17031,1354,40312,494,11477,492,6811
17033,8,141,,,,
17035,2,0,,,,
17037,40,558,4,0,2,0
17039,4,56,,,,
17041,6,0,,,1,0
17043,307,7762,146,3148,103,982
17045,7,292,,,,
17047,1,0,,,,
17049,17,0,0,0,,
17051,9,0,1,0,,
17053,7,119,,,,
17055,11,147,6,13,,
17057,14,0,1,0,,
17059,2,0,,,,
17061,4,160,,,,
17063,13,163,1,0,1,0
17065,5,29,,,,
17067,10,137,,,,
17069,4,0,,,,
17071,3,68,,,,
17073,12,0,2,0,,
17075,11,259,,,,
17077,18,0,4,0,,
17079,3,0,1,0,,
17081,15,243,3,0,1,0
17083,4,96,2,0,1,0
17085,9,137,,,,
17087,5,41,,,,
17089,142,2856,30,1612,16,644
17091,30,450,8,59,7,19
17093,32,354,5,0,1,0
17095,20,0,1,0,,
17097,189,3248,69,4466,45,1684
17099,45,987,6,0,1,0
17101,6,43,,,,
17103,10,159,,,,
17105,16,0,2,0,,
17107,12,187,,,,
17109,10,139,3,0,1,0
17111,71,1079,11,47,11,39
17113,57,830,12,0,1,0
17115,37,815,6,48,4,42
17117,13,417,,,,
17119,90,1682,32,239,8,35
17121,13,0,3,0,,
17123,8,60,,,,
17125,7,86,,,,
17127,4,0,1,0,2,0
17129,2,0,,,,
17131,6,0,1,0,,
17133,14,242,,,,
17135,13,321,,,,
17137,7,191,1,0,1,0
17139,5,127,,,,
17141,8,0,2,0,,
17143,68,949,21,445,4,15
17145,5,0,1,0,,
17147,5,0,,,1,0
17149,7,176,,,,
17151,2,0,,,,
17153,3,39,,,,
17155,2,0,,,,
17157,9,0,2,0,,
17159,4,0,2,0,,
17161,50,1000,9,0,7,0
17163,71,808,23,117,7,17
17165,10,233,0,0,1,0
17167,59,1970,16,78,9,151
17169,2,0,,,,
17171,2,0,,,,
17173,3,0,1,0,,
17175,2,0,,,,
17177,18,467,2,0,1,0
17179,37,596,5,25,,
17181,4,0,1,0,,
17183,26,238,4,0,1,0
17185,4,0,1,0,,
17187,10,0,1,0,,
17189,7,0,,,1,0
17191,3,0,1,0,,
17193,6,99,,,,
17195,20,462,6,0,1,0
17197,150,2127,38,211,25,179
17199,26,416,8,0,2,0
17201,80,1201,15,65,7,166
17203,16,0,1,0,,
17999,92,642,304,982,137,391
18000,2452,29263,793,9457,405,3823
18001,15,217,3,3,,
18003,143,1829,41,620,23,125
18005,35,430,9,62,4,10
18007,5,96,,,,
18009,7,0,1,0,,
